school,sex,age,address,famsize,Pstatus,Medu,Fedu,Mjob,Fjob,reason,guardian,traveltime,studytime,failures,schoolsup,famsup,paid,activities,nursery,higher,internet,romantic,famrel,freetime,goout,Dalc,Walc,health,absences,G1,G2,G3
GP,F,18,U,GT3,T,4,4,other,other,course,father,2,3,0,no,yes,no,yes,yes,yes,yes,yes,5,3,2,2,2,4,24,17,17,16
MS,F,17,U,GT3,T,4,4,at_home,other,other,mother,1,1,1,no,yes,no,no,yes,yes,yes,no,1,4,3,1,1,3,6,5,5,3
GP,M,18,R,GT3,T,4,4,other,at_home,other,father,1,2,0,no,yes,yes,yes,yes,no,no,no,2,3,3,1,1,5,9,7,8,10
MS,M,16,U,GT3,T,4,4,teacher,other,home,other,2,3,0,no,no,yes,yes,yes,yes,yes,yes,3,4,3,1,5,2,11,8,10,11
MS,M,20,R,LE3,T,3,4,services,teacher,course,father,1,1,0,yes,no,yes,yes,yes,yes,no,yes,3,2,4,1,5,5,0,12,10,8
GP,F,19,R,LE3,T,4,3,teacher,services,other,mother,1,2,0,no,no,no,no,yes,yes,yes,yes,3,3,5,1,3,1,24,10,10,9
GP,M,15,U,GT3,A,1,2,teacher,health,home,father,4,2,0,no,no,no,yes,no,yes,yes,yes,4,2,4,3,1,5,15,11,10,10
GP,F,19,U,LE3,T,2,3,health,at_home,reputation,father,1,1,1,no,yes,no,no,no,yes,yes,no,4,5,4,1,1,1,4,7,6,6
GP,F,15,U,LE3,T,2,3,services,other,course,father,1,4,1,yes,no,yes,no,no,yes,yes,no,5,3,3,5,3,4,18,16,15,14
GP,F,16,U,GT3,T,2,3,teacher,other,reputation,mother,4,1,1,no,yes,no,no,yes,yes,yes,no,3,3,3,2,1,5,3,16,15,0
GP,M,18,R,GT3,T,1,3,at_home,teacher,reputation,mother,2,3,2,yes,yes,no,yes,no,no,yes,no,3,1,3,1,5,1,5,12,11,11
GP,F,16,R,GT3,T,3,1,teacher,services,other,father,2,2,0,yes,yes,no,no,yes,yes,yes,no,5,2,3,1,1,4,25,7,7,7
GP,M,19,U,GT3,T,4,2,at_home,at_home,other,mother,3,3,0,no,yes,no,no,yes,yes,yes,yes,5,3,2,2,5,3,8,11,12,10
MS,F,19,U,GT3,A,3,4,health,services,other,father,1,2,3,no,no,no,yes,yes,yes,yes,yes,4,2,3,2,2,4,13,9,7,6
GP,M,17,R,GT3,T,1,3,teacher,other,course,mother,2,2,0,no,yes,no,yes,no,yes,no,no,4,3,4,1,3,3,8,11,13,11
MS,M,15,U,GT3,T,4,3,other,other,reputation,mother,2,3,0,no,no,no,yes,no,yes,no,no,5,3,3,1,1,1,14,15,16,16
GP,F,16,R,GT3,T,3,2,health,at_home,course,mother,2,2,0,yes,yes,no,yes,yes,yes,yes,yes,4,4,5,3,4,5,19,15,17,17
GP,M,17,U,LE3,T,2,2,at_home,services,other,mother,2,2,0,no,yes,yes,no,yes,yes,yes,no,3,4,3,1,1,4,7,17,18,17
GP,M,22,U,GT3,A,3,4,health,services,reputation,other,2,2,0,no,no,yes,no,yes,yes,no,no,5,3,2,3,3,5,31,10,10,11
GP,F,17,U,GT3,T,2,3,teacher,health,course,father,1,3,3,no,yes,no,yes,yes,yes,yes,no,4,3,3,2,4,3,20,8,5,3
MS,F,16,U,GT3,T,2,4,services,services,course,father,1,2,0,no,yes,yes,no,no,yes,yes,yes,3,4,4,1,1,3,18,10,9,9
GP,F,17,U,GT3,T,4,2,services,services,home,mother,2,4,0,no,yes,no,no,no,yes,yes,no,4,4,3,1,2,4,28,6,6,8
MS,F,17,U,GT3,T,2,3,at_home,other,course,father,2,2,3,no,no,yes,yes,yes,yes,yes,no,4,2,1,1,2,4,30,9,8,6
GP,F,18,U,LE3,T,3,2,at_home,other,other,father,2,2,3,yes,no,no,no,yes,yes,yes,yes,5,5,3,3,1,3,5,9,10,8
GP,M,15,U,GT3,T,4,3,services,teacher,course,father,1,3,0,no,yes,yes,no,yes,yes,no,yes,3,2,5,1,2,3,3,10,10,10
MS,M,18,R,GT3,T,4,2,at_home,services,reputation,mother,2,3,0,no,no,yes,no,yes,yes,yes,no,5,2,3,1,1,3,28,7,6,7
MS,M,17,U,LE3,T,1,2,health,services,course,father,2,3,1,yes,no,no,yes,yes,yes,yes,yes,4,2,5,2,2,2,2,9,10,11
MS,F,21,U,LE3,T,1,3,other,health,home,father,2,4,1,no,no,yes,no,yes,yes,no,no,4,5,4,1,3,3,0,13,14,13
GP,F,16,U,GT3,T,0,4,other,other,reputation,other,2,2,1,no,no,yes,yes,yes,yes,no,no,3,3,2,1,3,3,14,14,13,12
GP,M,17,U,LE3,T,3,1,health,teacher,reputation,mother,3,1,2,no,yes,yes,no,yes,yes,yes,yes,4,4,4,3,1,5,20,6,7,6
MS,M,20,U,GT3,T,3,4,other,services,home,father,2,1,1,yes,no,no,yes,yes,yes,yes,yes,5,3,3,1,4,4,30,13,10,10
GP,F,15,U,LE3,T,1,2,teacher,health,other,father,2,3,0,no,yes,yes,no,yes,yes,yes,no,4,3,2,4,4,3,6,14,16,16
